Month,crash_day_no_year,total_crash,day_only
April,04-01,28.142857142857142,01
April,04-02,25.285714285714285,02
April,04-03,25.857142857142858,03
April,04-04,27.857142857142858,04
April,04-05,28.285714285714285,05
April,04-06,27.571428571428573,06
April,04-07,25.285714285714285,07
April,04-08,30.285714285714285,08
April,04-09,28.428571428571427,09
April,04-10,27,10
April,04-11,28.285714285714285,11
April,04-12,29.714285714285715,12
April,04-13,31.571428571428573,13
April,04-14,28.428571428571427,14
April,04-15,30.714285714285715,15
April,04-16,26.857142857142858,16
April,04-17,21.285714285714285,17
April,04-18,26.285714285714285,18
April,04-19,29,19
April,04-20,32.42857142857143,20
April,04-21,31.285714285714285,21
April,04-22,25.142857142857142,22
April,04-23,33.285714285714285,23
April,04-24,32.714285714285715,24
April,04-25,33.42857142857143,25
April,04-26,28.714285714285715,26
April,04-27,30.285714285714285,27
April,04-28,30.714285714285715,28
April,04-29,30.571428571428573,29
April,04-30,30.285714285714285,30
