Month,crash_day_no_year,total_crash,day_only
August,08-01,27.857142857142858,01
August,08-02,28,02
August,08-03,25.714285714285715,03
August,08-04,27.142857142857142,04
August,08-05,25,05
August,08-06,28.285714285714285,06
August,08-07,24.714285714285715,07
August,08-08,26.857142857142858,08
August,08-09,25,09
August,08-10,26.285714285714285,10
August,08-11,30.857142857142858,11
August,08-12,27.571428571428573,12
August,08-13,30.428571428571427,13
August,08-14,30.428571428571427,14
August,08-15,27.142857142857142,15
August,08-16,30.714285714285715,16
August,08-17,26.571428571428573,17
August,08-18,27,18
August,08-19,28.428571428571427,19
August,08-20,32.857142857142854,20
August,08-21,32,21
August,08-22,27.714285714285715,22
August,08-23,29.428571428571427,23
August,08-24,29.857142857142858,24
August,08-25,29.714285714285715,25
August,08-26,25.285714285714285,26
August,08-27,27.714285714285715,27
August,08-28,27.428571428571427,28
August,08-29,33.142857142857146,29
August,08-30,32.142857142857146,30
August,08-31,34.142857142857146,31
