Month,crash_day_no_year,total_crash,day_only
December,12-01,39.714285714285715,01
December,12-02,36.57142857142857,02
December,12-03,32.142857142857146,03
December,12-04,29.571428571428573,04
December,12-05,35.714285714285715,05
December,12-06,37.142857142857146,06
December,12-07,39.142857142857146,07
December,12-08,27.571428571428573,08
December,12-09,36.857142857142854,09
December,12-10,34,10
December,12-11,31.571428571428573,11
December,12-12,31.285714285714285,12
December,12-13,34.857142857142854,13
December,12-14,40.42857142857143,14
December,12-15,38.142857142857146,15
December,12-16,34.142857142857146,16
December,12-17,39.57142857142857,17
December,12-18,34.142857142857146,18
December,12-19,39.57142857142857,19
December,12-20,34.57142857142857,20
December,12-21,43,21
December,12-22,38.142857142857146,22
December,12-23,39,23
December,12-24,31.428571428571427,24
December,12-25,18.142857142857142,25
December,12-26,22,26
December,12-27,28.571428571428573,27
December,12-28,25.571428571428573,28
December,12-29,27.571428571428573,29
December,12-30,33.57142857142857,30
December,12-31,25.571428571428573,31
