Month,crash_day_no_year,total_crash,day_only
February,02-01,30.857142857142858,01
February,02-02,34.142857142857146,02
February,02-03,28.571428571428573,03
February,02-04,27.714285714285715,04
February,02-05,28.142857142857142,05
February,02-06,30.285714285714285,06
February,02-07,22.142857142857142,07
February,02-08,24.857142857142858,08
February,02-09,27.714285714285715,09
February,02-10,27.714285714285715,10
February,02-11,26.285714285714285,11
February,02-12,27.428571428571427,12
February,02-13,27,13
February,02-14,24.714285714285715,14
February,02-15,29,15
February,02-16,21.571428571428573,16
February,02-17,29.571428571428573,17
February,02-18,26.142857142857142,18
February,02-19,26.285714285714285,19
February,02-20,23.142857142857142,20
February,02-21,23.571428571428573,21
February,02-22,27.142857142857142,22
February,02-23,32.142857142857146,23
February,02-24,30.714285714285715,24
February,02-25,29.142857142857142,25
February,02-26,27.857142857142858,26
February,02-27,27.857142857142858,27
February,02-28,30,28
February,02-29,26,29
