Month,crash_day_no_year,total_crash,day_only
July,07-01,27.857142857142858,01
July,07-02,26.714285714285715,02
July,07-03,27,03
July,07-04,22.285714285714285,04
July,07-05,24.428571428571427,05
July,07-06,29.857142857142858,06
July,07-07,25.571428571428573,07
July,07-08,25,08
July,07-09,26.285714285714285,09
July,07-10,30.285714285714285,10
July,07-11,31.714285714285715,11
July,07-12,30.857142857142858,12
July,07-13,27.571428571428573,13
July,07-14,28.857142857142858,14
July,07-15,31.714285714285715,15
July,07-16,29.714285714285715,16
July,07-17,37.857142857142854,17
July,07-18,34.285714285714285,18
July,07-19,32.857142857142854,19
July,07-20,31.714285714285715,20
July,07-21,32.142857142857146,21
July,07-22,26.571428571428573,22
July,07-23,33.57142857142857,23
July,07-24,32.285714285714285,24
July,07-25,28.571428571428573,25
July,07-26,28.285714285714285,26
July,07-27,25.714285714285715,27
July,07-28,29.714285714285715,28
July,07-29,28.714285714285715,29
July,07-30,28.285714285714285,30
July,07-31,31.714285714285715,31
