Month,crash_day_no_year,total_crash,day_only
June,06-01,31.571428571428573,01
June,06-02,35.142857142857146,02
June,06-03,32.142857142857146,03
June,06-04,33.857142857142854,04
June,06-05,26.142857142857142,05
June,06-06,34.285714285714285,06
June,06-07,30.714285714285715,07
June,06-08,30.857142857142858,08
June,06-09,30.714285714285715,09
June,06-10,33.142857142857146,10
June,06-11,31.714285714285715,11
June,06-12,33.142857142857146,12
June,06-13,33.285714285714285,13
June,06-14,34.857142857142854,14
June,06-15,28,15
June,06-16,28.857142857142858,16
June,06-17,33.857142857142854,17
June,06-18,29.285714285714285,18
June,06-19,28.142857142857142,19
June,06-20,28.142857142857142,20
June,06-21,29,21
June,06-22,29.857142857142858,22
June,06-23,26.571428571428573,23
June,06-24,31,24
June,06-25,25.142857142857142,25
June,06-26,26.714285714285715,26
June,06-27,30.142857142857142,27
June,06-28,29.857142857142858,28
June,06-29,33,29
June,06-30,28.571428571428573,30
