Month,crash_day_no_year,total_crash,day_only
March,03-01,27.714285714285715,01
March,03-02,27,02
March,03-03,30,03
March,03-04,27.428571428571427,04
March,03-05,28.857142857142858,05
March,03-06,27.285714285714285,06
March,03-07,31,07
March,03-08,31.571428571428573,08
March,03-09,31.142857142857142,09
March,03-10,26.428571428571427,10
March,03-11,29,11
March,03-12,27.714285714285715,12
March,03-13,26.428571428571427,13
March,03-14,24.571428571428573,14
March,03-15,28,15
March,03-16,26.428571428571427,16
March,03-17,27.142857142857142,17
March,03-18,27.428571428571427,18
March,03-19,28.857142857142858,19
March,03-20,25.714285714285715,20
March,03-21,30.142857142857142,21
March,03-22,31.142857142857142,22
March,03-23,31.857142857142858,23
March,03-24,25.857142857142858,24
March,03-25,23.571428571428573,25
March,03-26,28.714285714285715,26
March,03-27,25.714285714285715,27
March,03-28,24.714285714285715,28
March,03-29,27.142857142857142,29
March,03-30,27,30
March,03-31,27.571428571428573,31
