Month,crash_day_no_year,total_crash,day_only
May,05-01,24.857142857142858,01
May,05-02,38.142857142857146,02
May,05-03,35.142857142857146,03
May,05-04,32,04
May,05-05,30.285714285714285,05
May,05-06,36.57142857142857,06
May,05-07,31.857142857142858,07
May,05-08,33.285714285714285,08
May,05-09,31.714285714285715,09
May,05-10,30.857142857142858,10
May,05-11,33.42857142857143,11
May,05-12,33.57142857142857,12
May,05-13,33,13
May,05-14,32.42857142857143,14
May,05-15,31,15
May,05-16,33.857142857142854,16
May,05-17,33.142857142857146,17
May,05-18,30.571428571428573,18
May,05-19,33.142857142857146,19
May,05-20,32,20
May,05-21,34.714285714285715,21
May,05-22,33.714285714285715,22
May,05-23,38.142857142857146,23
May,05-24,33.714285714285715,24
May,05-25,31.428571428571427,25
May,05-26,30.857142857142858,26
May,05-27,29.142857142857142,27
May,05-28,29.571428571428573,28
May,05-29,26.857142857142858,29
May,05-30,26.857142857142858,30
May,05-31,34.142857142857146,31
