Month,crash_day_no_year,total_crash,day_only
November,11-01,35,01
November,11-02,36,02
November,11-03,38.142857142857146,03
November,11-04,34.714285714285715,04
November,11-05,37.714285714285715,05
November,11-06,33.857142857142854,06
November,11-07,38.57142857142857,07
November,11-08,33.285714285714285,08
November,11-09,39.57142857142857,09
November,11-10,40.285714285714285,10
November,11-11,28,11
November,11-12,36.142857142857146,12
November,11-13,36.285714285714285,13
November,11-14,33.142857142857146,14
November,11-15,38.714285714285715,15
November,11-16,34.714285714285715,16
November,11-17,30.571428571428573,17
November,11-18,32.714285714285715,18
November,11-19,33.142857142857146,19
November,11-20,32.142857142857146,20
November,11-21,36.285714285714285,21
November,11-22,32.714285714285715,22
November,11-23,30.428571428571427,23
November,11-24,29.428571428571427,24
November,11-25,28.285714285714285,25
November,11-26,22.285714285714285,26
November,11-27,29,27
November,11-28,31.857142857142858,28
November,11-29,33.42857142857143,29
November,11-30,37.42857142857143,30
