Month,crash_day_no_year,total_crash,day_only
October,10-01,36.57142857142857,01
October,10-02,34.857142857142854,02
October,10-03,32.285714285714285,03
October,10-04,35.285714285714285,04
October,10-05,32.57142857142857,05
October,10-06,33.57142857142857,06
October,10-07,34.57142857142857,07
October,10-08,32.42857142857143,08
October,10-09,33,09
October,10-10,35.285714285714285,10
October,10-11,37.57142857142857,11
October,10-12,33.42857142857143,12
October,10-13,35.142857142857146,13
October,10-14,33.142857142857146,14
October,10-15,37.42857142857143,15
October,10-16,34.714285714285715,16
October,10-17,33.142857142857146,17
October,10-18,34,18
October,10-19,30.571428571428573,19
October,10-20,37.142857142857146,20
October,10-21,35.714285714285715,21
October,10-22,35.857142857142854,22
October,10-23,34.42857142857143,23
October,10-24,35.285714285714285,24
October,10-25,32.857142857142854,25
October,10-26,36,26
October,10-27,36.57142857142857,27
October,10-28,38.57142857142857,28
October,10-29,36.285714285714285,29
October,10-30,37.42857142857143,30
October,10-31,41.714285714285715,31
