Month,crash_day_no_year,total_crash,day_only
September,09-01,33.57142857142857,01
September,09-02,33.57142857142857,02
September,09-03,30.142857142857142,03
September,09-04,27.714285714285715,04
September,09-05,29.714285714285715,05
September,09-06,33.714285714285715,06
September,09-07,33.285714285714285,07
September,09-08,28,08
September,09-09,31.714285714285715,09
September,09-10,30.714285714285715,10
September,09-11,35.42857142857143,11
September,09-12,32.142857142857146,12
September,09-13,36.142857142857146,13
September,09-14,30.857142857142858,14
September,09-15,31.428571428571427,15
September,09-16,34,16
September,09-17,33.857142857142854,17
September,09-18,30.714285714285715,18
September,09-19,38.42857142857143,19
September,09-20,34,20
September,09-21,30.285714285714285,21
September,09-22,39.857142857142854,22
September,09-23,33.285714285714285,23
September,09-24,35.285714285714285,24
September,09-25,34.714285714285715,25
September,09-26,28.571428571428573,26
September,09-27,33.42857142857143,27
September,09-28,37.285714285714285,28
September,09-29,38.714285714285715,29
September,09-30,35.714285714285715,30
