normalizeHolidayName,isPaidTimeOff,date
New Year's Day,True,2015-01-01
Martin Luther King Jr. Day,,2015-01-19
Washington's Birthday,True,2015-02-16
Memorial Day,True,2015-05-25
Independence Day,True,2015-07-03
Independence Day,True,2015-07-04
Labor Day,True,2015-09-07
Columbus Day,False,2015-10-12
Veterans Day,False,2015-11-11
Thanksgiving,True,2015-11-26
Christmas Day,True,2015-12-25
New Year's Day,True,2016-01-01
Martin Luther King Jr. Day,,2016-01-18
Washington's Birthday,True,2016-02-15
Memorial Day,True,2016-05-30
Independence Day,True,2016-07-04
Labor Day,True,2016-09-05
Columbus Day,False,2016-10-10
Veterans Day,False,2016-11-11
Thanksgiving,True,2016-11-24
Christmas Day,True,2016-12-25
Christmas Day,True,2016-12-26
New Year's Day,True,2017-01-01
New Year's Day,True,2017-01-02
Martin Luther King Jr. Day,,2017-01-16
Washington's Birthday,True,2017-02-20
Memorial Day,True,2017-05-29
Independence Day,True,2017-07-04
Labor Day,True,2017-09-04
Columbus Day,False,2017-10-09
Veterans Day,False,2017-11-10
Veterans Day,False,2017-11-11
Thanksgiving,True,2017-11-23
Christmas Day,True,2017-12-25
New Year's Day,True,2018-01-01
Martin Luther King Jr. Day,,2018-01-15
Washington's Birthday,True,2018-02-19
Memorial Day,True,2018-05-28
Independence Day,True,2018-07-04
Labor Day,True,2018-09-03
Columbus Day,False,2018-10-08
Veterans Day,False,2018-11-11
Veterans Day,False,2018-11-12
Thanksgiving,True,2018-11-22
Christmas Day,True,2018-12-25
New Year's Day,True,2019-01-01
Martin Luther King Jr. Day,,2019-01-21
Washington's Birthday,True,2019-02-18
Memorial Day,True,2019-05-27
Independence Day,True,2019-07-04
Labor Day,True,2019-09-02
Columbus Day,False,2019-10-14
Veterans Day,False,2019-11-11
Thanksgiving,True,2019-11-28
Christmas Day,True,2019-12-25
New Year's Day,True,2020-01-01
Martin Luther King Jr. Day,,2020-01-20
Washington's Birthday,True,2020-02-17
Memorial Day,True,2020-05-25
Independence Day,True,2020-07-03
Independence Day,True,2020-07-04
Labor Day,True,2020-09-07
Columbus Day,False,2020-10-12
Veterans Day,False,2020-11-11
Thanksgiving,True,2020-11-26
Christmas Day,True,2020-12-25
New Year's Day,True,2021-01-01
Martin Luther King Jr. Day,,2021-01-18
Washington's Birthday,True,2021-02-15
Memorial Day,True,2021-05-31
Independence Day,True,2021-07-04
Independence Day,True,2021-07-05
Labor Day,True,2021-09-06
Columbus Day,False,2021-10-11
Veterans Day,False,2021-11-11
Thanksgiving,True,2021-11-25
Christmas Day,True,2021-12-24
Christmas Day,True,2021-12-25
New Year's Day,True,2021-12-31
New Year's Day,True,2022-01-01
Martin Luther King Jr. Day,,2022-01-17
Washington's Birthday,True,2022-02-21
Memorial Day,True,2022-05-30
Independence Day,True,2022-07-04
Labor Day,True,2022-09-05
Columbus Day,False,2022-10-10
Veterans Day,False,2022-11-11
Thanksgiving,True,2022-11-24
Christmas Day,True,2022-12-25
Christmas Day,True,2022-12-26
New Year's Day,True,2023-01-01
New Year's Day,True,2023-01-02
Martin Luther King Jr. Day,,2023-01-16
Washington's Birthday,True,2023-02-20
Memorial Day,True,2023-05-29
Independence Day,True,2023-07-04
Labor Day,True,2023-09-04
Columbus Day,False,2023-10-09
Veterans Day,False,2023-11-10
Veterans Day,False,2023-11-11
Thanksgiving,True,2023-11-23
Christmas Day,True,2023-12-25
