Month,crash_day_no_year,total_crash,day_only
January,01-01,19.714285714285715,01
January,01-02,25.285714285714285,02
January,01-03,30,03
January,01-04,29.857142857142858,04
January,01-05,27,05
January,01-06,30.428571428571427,06
January,01-07,29.142857142857142,07
January,01-08,33,08
January,01-09,31.142857142857142,09
January,01-10,27.714285714285715,10
January,01-11,31.714285714285715,11
January,01-12,31.714285714285715,12
January,01-13,26.142857142857142,13
January,01-14,26.857142857142858,14
January,01-15,33.285714285714285,15
January,01-16,30.142857142857142,16
January,01-17,24.714285714285715,17
January,01-18,29.428571428571427,18
January,01-19,26.428571428571427,19
January,01-20,28.285714285714285,20
January,01-21,27,21
January,01-22,28.714285714285715,22
January,01-23,24.714285714285715,23
January,01-24,24.428571428571427,24
January,01-25,24.142857142857142,25
January,01-26,31.285714285714285,26
January,01-27,28.571428571428573,27
January,01-28,29,28
January,01-29,26.714285714285715,29
January,01-30,29.857142857142858,30
January,01-31,33,31
February,02-01,30.857142857142858,01
February,02-02,34.142857142857146,02
February,02-03,28.571428571428573,03
February,02-04,27.714285714285715,04
February,02-05,28.142857142857142,05
February,02-06,30.285714285714285,06
February,02-07,22.142857142857142,07
February,02-08,24.857142857142858,08
February,02-09,27.714285714285715,09
February,02-10,27.714285714285715,10
February,02-11,26.285714285714285,11
February,02-12,27.428571428571427,12
February,02-13,27,13
February,02-14,24.714285714285715,14
February,02-15,29,15
February,02-16,21.571428571428573,16
February,02-17,29.571428571428573,17
February,02-18,26.142857142857142,18
February,02-19,26.285714285714285,19
February,02-20,23.142857142857142,20
February,02-21,23.571428571428573,21
February,02-22,27.142857142857142,22
February,02-23,32.142857142857146,23
February,02-24,30.714285714285715,24
February,02-25,29.142857142857142,25
February,02-26,27.857142857142858,26
February,02-27,27.857142857142858,27
February,02-28,30,28
February,02-29,26,29
March,03-01,27.714285714285715,01
March,03-02,27,02
March,03-03,30,03
March,03-04,27.428571428571427,04
March,03-05,28.857142857142858,05
March,03-06,27.285714285714285,06
March,03-07,31,07
March,03-08,31.571428571428573,08
March,03-09,31.142857142857142,09
March,03-10,26.428571428571427,10
March,03-11,29,11
March,03-12,27.714285714285715,12
March,03-13,26.428571428571427,13
March,03-14,24.571428571428573,14
March,03-15,28,15
March,03-16,26.428571428571427,16
March,03-17,27.142857142857142,17
March,03-18,27.428571428571427,18
March,03-19,28.857142857142858,19
March,03-20,25.714285714285715,20
March,03-21,30.142857142857142,21
March,03-22,31.142857142857142,22
March,03-23,31.857142857142858,23
March,03-24,25.857142857142858,24
March,03-25,23.571428571428573,25
March,03-26,28.714285714285715,26
March,03-27,25.714285714285715,27
March,03-28,24.714285714285715,28
March,03-29,27.142857142857142,29
March,03-30,27,30
March,03-31,27.571428571428573,31
April,04-01,28.142857142857142,01
April,04-02,25.285714285714285,02
April,04-03,25.857142857142858,03
April,04-04,27.857142857142858,04
April,04-05,28.285714285714285,05
April,04-06,27.571428571428573,06
April,04-07,25.285714285714285,07
April,04-08,30.285714285714285,08
April,04-09,28.428571428571427,09
April,04-10,27,10
April,04-11,28.285714285714285,11
April,04-12,29.714285714285715,12
April,04-13,31.571428571428573,13
April,04-14,28.428571428571427,14
April,04-15,30.714285714285715,15
April,04-16,26.857142857142858,16
April,04-17,21.285714285714285,17
April,04-18,26.285714285714285,18
April,04-19,29,19
April,04-20,32.42857142857143,20
April,04-21,31.285714285714285,21
April,04-22,25.142857142857142,22
April,04-23,33.285714285714285,23
April,04-24,32.714285714285715,24
April,04-25,33.42857142857143,25
April,04-26,28.714285714285715,26
April,04-27,30.285714285714285,27
April,04-28,30.714285714285715,28
April,04-29,30.571428571428573,29
April,04-30,30.285714285714285,30
May,05-01,24.857142857142858,01
May,05-02,38.142857142857146,02
May,05-03,35.142857142857146,03
May,05-04,32,04
May,05-05,30.285714285714285,05
May,05-06,36.57142857142857,06
May,05-07,31.857142857142858,07
May,05-08,33.285714285714285,08
May,05-09,31.714285714285715,09
May,05-10,30.857142857142858,10
May,05-11,33.42857142857143,11
May,05-12,33.57142857142857,12
May,05-13,33,13
May,05-14,32.42857142857143,14
May,05-15,31,15
May,05-16,33.857142857142854,16
May,05-17,33.142857142857146,17
May,05-18,30.571428571428573,18
May,05-19,33.142857142857146,19
May,05-20,32,20
May,05-21,34.714285714285715,21
May,05-22,33.714285714285715,22
May,05-23,38.142857142857146,23
May,05-24,33.714285714285715,24
May,05-25,31.428571428571427,25
May,05-26,30.857142857142858,26
May,05-27,29.142857142857142,27
May,05-28,29.571428571428573,28
May,05-29,26.857142857142858,29
May,05-30,26.857142857142858,30
May,05-31,34.142857142857146,31
June,06-01,31.571428571428573,01
June,06-02,35.142857142857146,02
June,06-03,32.142857142857146,03
June,06-04,33.857142857142854,04
June,06-05,26.142857142857142,05
June,06-06,34.285714285714285,06
June,06-07,30.714285714285715,07
June,06-08,30.857142857142858,08
June,06-09,30.714285714285715,09
June,06-10,33.142857142857146,10
June,06-11,31.714285714285715,11
June,06-12,33.142857142857146,12
June,06-13,33.285714285714285,13
June,06-14,34.857142857142854,14
June,06-15,28,15
June,06-16,28.857142857142858,16
June,06-17,33.857142857142854,17
June,06-18,29.285714285714285,18
June,06-19,28.142857142857142,19
June,06-20,28.142857142857142,20
June,06-21,29,21
June,06-22,29.857142857142858,22
June,06-23,26.571428571428573,23
June,06-24,31,24
June,06-25,25.142857142857142,25
June,06-26,26.714285714285715,26
June,06-27,30.142857142857142,27
June,06-28,29.857142857142858,28
June,06-29,33,29
June,06-30,28.571428571428573,30
July,07-01,27.857142857142858,01
July,07-02,26.714285714285715,02
July,07-03,27,03
July,07-04,22.285714285714285,04
July,07-05,24.428571428571427,05
July,07-06,29.857142857142858,06
July,07-07,25.571428571428573,07
July,07-08,25,08
July,07-09,26.285714285714285,09
July,07-10,30.285714285714285,10
July,07-11,31.714285714285715,11
July,07-12,30.857142857142858,12
July,07-13,27.571428571428573,13
July,07-14,28.857142857142858,14
July,07-15,31.714285714285715,15
July,07-16,29.714285714285715,16
July,07-17,37.857142857142854,17
